budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue cost	runtime	spoken_languages	status	tagline	title	rating	rating_count
100000000	[{"id": 18, "name": "Drama"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]		644	[{"id": 310, "name": "artificial intelligence"}, {"id": 530, "name": "prophecy"}, {"id": 549, "name": "prostitute"}, {"id": 803, "name": "android"}, {"id": 936, "name": "loss of mother"}, {"id": 1603, "name": "extraterrestrial technology"}, {"id": 2219, "name": "ice age"}, {"id": 2393, "name": "adoption"}, {"id": 3205, "name": "fairy tale"}, {"id": 3244, "name": "pinocchio"}, {"id": 3246, "name": "prosecution"}, {"id": 3248, "name": "gigolo"}, {"id": 3249, "name": "hologram"}, {"id": 4565, "name": "dystopia"}, {"id": 9951, "name": "alien"}, {"id": 40850, "name": "destiny"}, {"id": 156702, "name": "capture"}, {"id": 161891, "name": "doppelganger"}]	en	A.I. Artificial Intelligence	A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.	34.035114	[{"name": "DreamWorks SKG", "id": 27}, {"name": "Amblin Entertainment", "id": 56}, {"name": "Stanley Kubrick Productions", "id": 385}, {"name": "Warner Bros.", "id": 6194}]	[{"iso_3166_1": "US", "name": "United States of America"}]	6/29/2001	235926552	146	[{"iso_639_1": "en", "name": "English"}]	Released	David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.	A.I. Artificial Intelligence	6.8	1974
90000000	[{"id": 53, "name": "Thriller"}, {"id": 14, "name": "Fantasy"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 9648, "name": "Mystery"}]		10756	[{"id": 352, "name": "secret passage"}, {"id": 2343, "name": "magic"}, {"id": 2918, "name": "estate agent"}, {"id": 3358, "name": "haunted house"}, {"id": 14724, "name": "family vacation"}, {"id": 162846, "name": "ghost"}, {"id": 179430, "name": "aftercreditsstinger"}]	en	The Haunted Mansion	Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.	16.302378	[{"name": "Walt Disney Pictures", "id": 2}, {"name": "Gunn Films", "id": 3538}, {"name": "Doom Buggy Productions", "id": 47122}]	[{"iso_3166_1": "US", "name": "United States of America"}]	11/25/2003	182290266	99	[{"iso_639_1": "en", "name": "English"}]	Released	Check your pulse at the door... if you have one.	The Haunted Mansion	5.2	466
90000000	[{"id": 18, "name": "Drama"}, {"id": 878, "name": "Science Fiction"}, {"id": 9648, "name": "Mystery"}]	http://www.warnerbros.com/contact	686	[{"id": 818, "name": "based on novel"}, {"id": 1432, "name": "nasa"}, {"id": 1508, "name": "new mexico"}, {"id": 1603, "name": "extraterrestrial technology"}, {"id": 2846, "name": "prime number"}, {"id": 3412, "name": "star"}, {"id": 3416, "name": "radio wave"}, {"id": 3417, "name": "wormhole"}, {"id": 3419, "name": "fanatic"}, {"id": 10706, "name": "spirituality"}, {"id": 11001, "name": "religion"}, {"id": 14760, "name": "scientist"}, {"id": 15246, "name": "sabotage"}, {"id": 159961, "name": "ham radio"}, {"id": 160515, "name": "alien contact"}, {"id": 162356, "name": "mechanical engineering"}, {"id": 162357, "name": "observatory"}, {"id": 226028, "name": "eccentric man"}, {"id": 226240, "name": "radio telescope"}]	en	Contact	Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.	55.249434	[{"name": "Warner Bros.", "id": 6194}, {"name": "South Side Amusement Company", "id": 43910}]	[{"iso_3166_1": "US", "name": "United States of America"}]	7/11/1997	171120329	150	[{"iso_639_1": "en", "name": "English"}]	Released	If it's just us, it seems like an awful waste of space.	Contact	7.2	1308
95000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]		9383	[{"id": 627, "name": "killing"}, {"id": 4005, "name": "human experimentation"}, {"id": 14760, "name": "scientist"}, {"id": 160130, "name": "invisible man"}, {"id": 198781, "name": "science experiment"}]	en	Hollow Man	Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is â€“ no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results.	28.200874	[{"name": "Columbia Pictures Corporation", "id": 441}, {"name": "Global Entertainment Productions GmbH & Company Medien KG", "id": 9269}]	[{"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "US", "name": "United States of America"}]	8/4/2000	190213455	112	[{"iso_639_1": "en", "name": "English"}]	Released	What would you do if you knew you couldn't be seen?	Hollow Man	5.6	634
80000000	[{"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	http://www.theinterpretermovie.com/	179	[{"id": 242, "name": "new york"}, {"id": 407, "name": "dictator"}, {"id": 409, "name": "africa"}, {"id": 434, "name": "destruction of a civilization"}, {"id": 441, "name": "assassination"}, {"id": 836, "name": "resistance"}, {"id": 9748, "name": "revenge"}, {"id": 9826, "name": "murder"}, {"id": 15053, "name": "united nations"}, {"id": 15155, "name": "witness to murder"}, {"id": 18525, "name": "fbi agent"}, {"id": 174375, "name": "resistance fighter"}]	en	The Interpreter	After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.	18.69984	[{"name": "Universal Pictures", "id": 33}, {"name": "StudioCanal", "id": 694}, {"name": "Mirage Enterprises", "id": 932}, {"name": "Working Title Films", "id": 10163}, {"name": "Misher Films", "id": 11581}, {"name": "Motion Picture JOTA Produktions", "id": 20194}]	[{"iso_3166_1": "FR", "name": "France"}, {"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	4/8/2005	162944923	128	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "fr", "name": "Fran\u00e7ais"}, {"iso_639_1": "pt", "name": "Portugu\u00eas"}]	Released	The truth needs no translation.	The Interpreter	6.2	392
90000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	http://www.percyjacksonthemovie.com/us/#!/home	76285	[{"id": 351, "name": "poison"}, {"id": 2034, "name": "hermes"}, {"id": 14667, "name": "poseidon"}, {"id": 180548, "name": "demigod"}, {"id": 180909, "name": "golden fleece"}, {"id": 180912, "name": "olympus"}, {"id": 209714, "name": "3d"}, {"id": 221835, "name": "kronos"}, {"id": 221836, "name": "overthrow olympus"}, {"id": 223438, "name": "based on young adult novel"}]	en	Percy Jackson: Sea of Monsters	In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.	40.262261	[{"name": "1492 Pictures", "id": 436}, {"name": "Dune Entertainment", "id": 444}, {"name": "Fox 2000 Pictures", "id": 711}, {"name": "Sunswept Entertainment", "id": 5219}, {"name": "Dune Entertainment III", "id": 6332}, {"name": "TSG Entertainment", "id": 22213}]	[{"iso_3166_1": "US", "name": "United States of America"}]	8/7/2013	174578751	106	[{"iso_639_1": "en", "name": "English"}]	Released	Where There Are Gods, There Are Monsters.	Percy Jackson: Sea of Monsters	5.9	1648
95000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 53, "name": "Thriller"}]		1996	[{"id": 483, "name": "riddle"}, {"id": 1454, "name": "treasure"}, {"id": 1456, "name": "medallion"}, {"id": 3510, "name": "kenia"}, {"id": 5127, "name": "alexander the great"}, {"id": 5962, "name": "pandora's box"}, {"id": 5964, "name": "chinese mafia"}, {"id": 6956, "name": "treasure hunt"}, {"id": 12354, "name": "hong kong"}, {"id": 41586, "name": "archaeologist"}, {"id": 41645, "name": "based on video game"}, {"id": 184134, "name": "archeology\u00a0"}]	en	Lara Croft Tomb Raider: The Cradle of Life	Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.	56.811056	[{"name": "Paramount Pictures", "id": 4}, {"name": "Toho-Towa", "id": 657}, {"name": "Mutual Film Company", "id": 762}, {"name": "Lawrence Gordon Productions", "id": 840}, {"name": "British Broadcasting Corporation (BBC)", "id": 3324}, {"name": "October Pictures", "id": 14362}, {"name": "Eidos Interactive", "id": 19105}]	[{"iso_3166_1": "US", "name": "United States of America"}, {"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "JP", "name": "Japan"}, {"iso_3166_1": "GB", "name": "United Kingdom"}]	7/21/2003	156505388	117	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "zh", "name": "\u666e\u901a\u8bdd"}]	Released	Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box	Lara Croft Tomb Raider: The Cradle of Life	5.5	1418
90000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	http://nowyouseeme.movie	291805	[{"id": 212, "name": "london england"}, {"id": 478, "name": "china"}, {"id": 2343, "name": "magic"}, {"id": 2908, "name": "secret society"}, {"id": 7002, "name": "vigilante"}, {"id": 9663, "name": "sequel"}, {"id": 9748, "name": "revenge"}, {"id": 10051, "name": "heist"}, {"id": 10562, "name": "on the run"}, {"id": 228519, "name": "macau china"}, {"id": 236458, "name": "magician"}]	en	Now You See Me 2	One year after outwitting the FBI and winning the publicâ€™s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.	51.535701	[{"name": "Summit Entertainment", "id": 491}, {"name": "Lionsgate", "id": 1632}, {"name": "K/O Paper Products", "id": 7296}, {"name": "TIK Films", "id": 72441}]	[{"iso_3166_1": "CA", "name": "Canada"}, {"iso_3166_1": "CN", "name": "China"}, {"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	6/2/2016	334901337	129	[{"iso_639_1": "zh", "name": "\u666e\u901a\u8bdd"}, {"iso_639_1": "en", "name": "English"}]	Released	You Haven't Seen Anything Yet	Now You See Me 2	6.7	3235
68000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 10749, "name": "Romance"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}]		10003	[{"id": 220, "name": "berlin"}, {"id": 2139, "name": "russia"}, {"id": 5138, "name": "gas"}, {"id": 6168, "name": "master thief"}, {"id": 186946, "name": "the saint"}]	en	The Saint	Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow	20.913852	[{"name": "Paramount Pictures", "id": 4}, {"name": "Mace Neufeld Productions", "id": 2767}, {"name": "Rysher Entertainment", "id": 11661}]	[{"iso_3166_1": "US", "name": "United States of America"}]	4/3/1997	118063304	116	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "ru", "name": "P\u0443\u0441\u0441\u043a\u0438\u0439"}]	Released	Never reveal your name. Never turn your back. Never surrender your heart.	The Saint	5.9	302
92000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]		1535	[{"id": 470, "name": "spy"}, {"id": 478, "name": "china"}, {"id": 591, "name": "cia"}, {"id": 2106, "name": "cold war"}]	en	Spy Game	Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protÃ©gÃ© and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.	27.166757	[{"name": "Universal Pictures", "id": 33}, {"name": "Metropolitan Filmexport", "id": 656}, {"name": "Toho-Towa", "id": 657}, {"name": "Red Wagon Productions", "id": 780}, {"name": "Beacon Communications", "id": 919}, {"name": "Kalima Productions GmbH & Co. KG", "id": 7385}]	[{"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	11/18/2001	143049560	126	[{"iso_639_1": "cn", "name": "\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71"}, {"iso_639_1": "en", "name": "English"}, {"iso_639_1": "de", "name": "Deutsch"}, {"iso_639_1": "ar", "name": "\u0627\u0644\u0639\u0631\u0628\u064a\u0629"}, {"iso_639_1": "fr", "name": "Fran\u00e7ais"}]	Released	It's not how you play the game. It's how the game plays you.	Spy Game	6.8	579
