budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue cost	runtime	spoken_languages	status	tagline	title	rating	rating_count
20000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]		2639	[{"id": 242, "name": "new york"}, {"id": 5914, "name": "writer's block"}, {"id": 6255, "name": "insanity"}, {"id": 10183, "name": "independent film"}, {"id": 10818, "name": "author"}]	en	Deconstructing Harry	This film tells the story of a successful writer called Harry Block, played by Allen himself, who draws inspiration from people he knows in real-life, and from events that happened to him, sometimes causing these people to become alienated from him as a result.	11.352693	[{"name": "Fine Line Features", "id": 8}]	[{"iso_3166_1": "US", "name": "United States of America"}]	8/26/1997	10686841	96	[{"iso_639_1": "en", "name": "English"}]	Released	Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...	Deconstructing Harry	7.3	187
20000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]		10563	[{"id": 237, "name": "gay"}, {"id": 1691, "name": "dance"}, {"id": 2301, "name": "architect"}, {"id": 2679, "name": "artist"}, {"id": 2683, "name": "tango"}, {"id": 4480, "name": "business man"}, {"id": 5265, "name": "spying"}, {"id": 6281, "name": "partnership"}, {"id": 6351, "name": "chief executive officer"}, {"id": 9758, "name": "deception"}, {"id": 188843, "name": "business partner"}, {"id": 229299, "name": "affair"}]	en	Three to Tango	Oscar and Peter land a career-making opportunity when a Chicago tycoon chooses them to compete for the design of a cultural center. The tycoon mistakenly believes that Oscar is gay and has him spy on his mistress Amy. Oscar goes along with it and ends up falling in love with Amy.	7.553773	[{"name": "Village Roadshow Pictures", "id": 79}, {"name": "Warner Bros.", "id": 6194}]	[{"iso_3166_1": "AU", "name": "Australia"}, {"iso_3166_1": "US", "name": "United States of America"}]	10/22/1999	0	98	[{"iso_639_1": "en", "name": "English"}]	Released	All's fair in the war of love.	Three to Tango	5.4	62
20000000	[{"id": 18, "name": "Drama"}]	http://burntmovie.com/	295964	[{"id": 212, "name": "london england"}, {"id": 1650, "name": "cook"}, {"id": 1946, "name": "restaurant"}, {"id": 2992, "name": "diva"}, {"id": 3658, "name": "career"}, {"id": 3914, "name": "kitchen"}, {"id": 11436, "name": "redemption"}, {"id": 14964, "name": "drug"}, {"id": 18179, "name": "drug addict"}, {"id": 18293, "name": "chef"}, {"id": 223064, "name": "come back"}]	en	Burnt	Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.	30.477114	[{"name": "Double Feature Films", "id": 215}, {"name": "PeaPie Films", "id": 32243}, {"name": "3 Arts Entertainment", "id": 36390}]	[{"iso_3166_1": "US", "name": "United States of America"}]	10/2/2015	36606743	100	[{"iso_639_1": "fr", "name": "Fran\u00e7ais"}, {"iso_639_1": "en", "name": "English"}]	Released	Never underestimate a man with everything to lose.	Burnt	6.3	950
20000000	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]		5971	[{"id": 378, "name": "prison"}, {"id": 1563, "name": "prisoner"}, {"id": 10183, "name": "independent film"}]	en	We're No Angels	Two escaped cons only prayer to escape is to pass themselves off as priests and pass by the police blockade at the border into the safety of Canada.	9.927018	[{"name": "Paramount Pictures", "id": 4}]	[{"iso_3166_1": "US", "name": "United States of America"}]	12/15/1989	0	106	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "hu", "name": "Magyar"}, {"iso_639_1": "it", "name": "Italiano"}]	Released	Escaped convicts disguised as priests. It'll take a miracle to get away with this one.	We're No Angels	5.6	105
20000000	[{"id": 10402, "name": "Music"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]		9716	[{"id": 90, "name": "paris"}, {"id": 110, "name": "venice"}, {"id": 596, "name": "adultery"}, {"id": 642, "name": "robbery"}, {"id": 725, "name": "lovesickness"}, {"id": 733, "name": "dancer"}, {"id": 822, "name": "airport"}, {"id": 978, "name": "broken engagement"}, {"id": 1326, "name": "infidelity"}, {"id": 1407, "name": "montmartre"}, {"id": 1442, "name": "winter"}, {"id": 1459, "name": "marriage proposal"}, {"id": 1605, "name": "new love"}, {"id": 1946, "name": "restaurant"}, {"id": 3282, "name": "gondola"}, {"id": 3335, "name": "halloween"}, {"id": 3525, "name": "racehorse"}, {"id": 4320, "name": "lover"}, {"id": 4344, "name": "musical"}, {"id": 4412, "name": "grandfather"}, {"id": 4543, "name": "thanksgiving"}, {"id": 4992, "name": "senility"}, {"id": 5159, "name": "tourist"}, {"id": 6921, "name": "jogging"}, {"id": 8778, "name": "atheist"}, {"id": 10041, "name": "dysfunctional family"}, {"id": 10183, "name": "independent film"}, {"id": 10235, "name": "family relationships"}, {"id": 10325, "name": "mistaken identity"}, {"id": 10329, "name": "wealth"}, {"id": 11436, "name": "redemption"}, {"id": 11510, "name": "unfaithfulness"}, {"id": 11612, "name": "hospital"}, {"id": 12372, "name": "lingerie slip"}, {"id": 12414, "name": "escaped convict"}, {"id": 12990, "name": "singing"}, {"id": 13097, "name": "maid"}, {"id": 14512, "name": "new york city"}, {"id": 15160, "name": "divorce"}, {"id": 33556, "name": "urban setting"}, {"id": 33965, "name": "christmas eve"}, {"id": 34117, "name": "cult film"}, {"id": 40950, "name": "waiter"}, {"id": 156112, "name": "wake"}, {"id": 156237, "name": "jewelry store"}, {"id": 159876, "name": "unwanted kiss"}, {"id": 160322, "name": "funeral home"}, {"id": 161287, "name": "central park"}, {"id": 162846, "name": "ghost"}, {"id": 165301, "name": "opposites attract"}, {"id": 172418, "name": "engagement ring"}, {"id": 174116, "name": "jumping rope"}, {"id": 178883, "name": "autumn"}, {"id": 180193, "name": "trick or treating"}, {"id": 187844, "name": "flashback"}, {"id": 188667, "name": "park avenue"}, {"id": 190161, "name": "parolee"}, {"id": 197362, "name": "x-ray"}, {"id": 199232, "name": "jeweler"}, {"id": 208764, "name": "fianc\u00e9e"}]	en	Everyone Says I Love You	A New York girl sets her father up with a beautiful woman in a shaky marriage while her half sister gets engaged.	12.379781	[{"name": "Miramax Films", "id": 14}]	[{"iso_3166_1": "US", "name": "United States of America"}]	12/6/1996	0	101	[{"iso_639_1": "en", "name": "English"}]	Released		Everyone Says I Love You	6.5	147
20000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]		11835	[{"id": 697, "name": "loss of son"}, {"id": 1522, "name": "repayment"}, {"id": 9748, "name": "revenge"}, {"id": 9826, "name": "murder"}, {"id": 10726, "name": "gang"}, {"id": 11522, "name": "police officer killed"}, {"id": 11612, "name": "hospital"}, {"id": 14687, "name": "extreme violence"}, {"id": 15108, "name": "justice"}, {"id": 160488, "name": "hoodlum"}, {"id": 160543, "name": "semiautomatic pistol"}, {"id": 172353, "name": "finger gun"}]	en	Death Sentence	Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.	12.643703	[{"name": "Twentieth Century Fox Film Corporation", "id": 306}, {"name": "Dune Entertainment", "id": 444}, {"name": "Baldwin Entertainment Group", "id": 2234}, {"name": "Hyde Park Entertainment", "id": 13816}, {"name": "Brass Hat Films", "id": 13817}]	[{"iso_3166_1": "US", "name": "United States of America"}]	8/31/2007	16974459	105	[{"iso_639_1": "en", "name": "English"}]	Released	Protect what's yours.	Death Sentence	6.5	297
21000000	[{"id": 18, "name": "Drama"}]	http://www.everybodysfinemovie.com/	26171	[{"id": 10235, "name": "family relationships"}, {"id": 13005, "name": "doctor"}, {"id": 18115, "name": "retired"}, {"id": 33364, "name": "visit"}, {"id": 33476, "name": "widower"}, {"id": 179431, "name": "duringcreditsstinger"}, {"id": 204267, "name": "heart trouble"}]	en	Everybody's Fine	Eight months after the death of his wife, Frank Goode looks forward to a reunion with his four adult children. When all of them cancel their visits at the last minute, Frank, against the advice of his doctor, sets out on a road trip to reconnect with his offspring. As he visits each one in turn, Frank finds that his children's lives are not quite as picture-perfect as they've made them out to be.	15.440465	[{"name": "Miramax Films", "id": 14}, {"name": "Hollywood Gang Productions", "id": 2994}, {"name": "Radar Pictures", "id": 14718}]	[{"iso_3166_1": "US", "name": "United States of America"}]	12/4/2009	0	99	[{"iso_639_1": "en", "name": "English"}]	Released	Frank's travelling light but carrying excess baggage.	Everybody's Fine	6.5	284
0	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	http://www.sonypictures.com/movies/superbabiesbabygeniuses2/index.html	31117	[{"id": 1009, "name": "baby"}, {"id": 1480, "name": "baseball"}, {"id": 2878, "name": "scientific study"}, {"id": 6104, "name": "computer"}, {"id": 6257, "name": "genius"}, {"id": 9678, "name": "mind control"}, {"id": 10842, "name": "good vs evil"}, {"id": 234456, "name": "baby geniuses"}]	en	Superbabies: Baby Geniuses 2	Following on from the plot of the last movie, babies can communicate with each other using 'baby talk', and have an innate knowledge of the secrets of the universe. The baby geniuses become involved in a scheme by media mogul Bill Biscane (Jon Voight). Helping the geniuses is a legendary superbaby named Kahuna. He joins up with several other babies in an attempt to stop Biscane, who intends to use a state-of-the-art satellite system to control the world's population.	5.886228	[{"name": "Crystal Sky Worldwide", "id": 4077}, {"name": "Triumph Films", "id": 23098}]	[{"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	8/27/2004	9109322	88	[{"iso_639_1": "en", "name": "English"}]	Released	Meet the new generation of superheroes.	Superbabies: Baby Geniuses 2	1.9	35
0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]		9074	[{"id": 2281, "name": "mistake in person"}, {"id": 3864, "name": "false identity"}, {"id": 6163, "name": "arms dealer"}, {"id": 8015, "name": "cop"}, {"id": 15090, "name": "police officer"}, {"id": 33780, "name": "dentist"}]	en	The Man	Special Agent Derrick Vann is a man out to get the man who killed his partner but a case of mistaken identity leads him to Andy Fidler, a salesman with too many questions and a knack of getting in Vanns way	6.925645	[{"name": "New Line Cinema", "id": 12}]	[{"iso_3166_1": "US", "name": "United States of America"}]	9/8/2005	12382362	83	[{"iso_639_1": "en", "name": "English"}]	Released	One guy walks the walk. The other talks and talks.	The Man	5.4	133
20000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]		14396	[]	en	Code Name: The Cleaner	Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent.	9.36146	[{"name": "New Line Cinema", "id": 12}]	[{"iso_3166_1": "US", "name": "United States of America"}]	1/5/2007	10337477	84	[{"iso_639_1": "en", "name": "English"}]	Released		Code Name: The Cleaner	4.7	78
